,Problem,Length,No-queries,Cost-before,Cost-after,Time
0,blocks-instance-1,7,7,4,6,5.108451
1,blocks-instance-2,3,3,8,8,2.776150
2,blocks-instance-3,7,7,6,6,5.085146
3,blocks-instance-4,4,4,10,12,3.555532
4,blocks-instance-5,8,7,8,10,5.577030
5,driverlog-instance-1,21,0,6,8,1.030549
6,driverlog-instance-2,24,0,17,9,1.245176
7,driverlog-instance-3,26,0,12,12,1.047446
8,driverlog-instance-4,23,0,13,13,1.182973
9,driverlog-instance-5,23,21,16,18,21.140517
10,elevator-instance-1,25,0,7,11,0.892995
11,elevator-instance-2,24,0,8,11,0.895020
12,elevator-instance-3,25,19,7,11,13.615608
13,elevator-instance-4,25,0,8,10,0.855134
14,elevator-instance-5,24,11,7,10,11.464546
15,logistics-instance-1,12,8,14,20,7.656053
16,logistics-instance-2,13,0,15,13,0.978220
17,logistics-instance-3,13,0,10,16,0.992959
18,logistics-instance-4,12,8,25,28,8.213092
19,logistics-instance-5,12,6,17,18,7.217026
20,rover-instance-1,46,0,7,10,1.346110
21,rover-instance-2,42,0,5,8,1.353569
22,rover-instance-3,55,0,7,11,1.373931
23,rover-instance-4,55,20,5,9,30.411401
24,rover-instance-5,69,0,19,22,6.762230

